FID,Species,ID,Transect,QN,QL,Width,Length,Height,Notes,sp_simp,Type,easting,northing,,,,,,,
281,u3,274,5,5,L,36,35,42, ,u3,shrub,622559.15,3849167.90,,,,,,,
282,amb.sal,275,5,5,L,136,77,58, ,amb.sal,shrub,622558.55,3849167.45,,,,,,,
283,u3,276,5,5,L,36,25,39, ,u3,shrub,622557.75,3849168.45,,,,,,,
284,u3,277,5,5,L,26,35,23, ,u3,shrub,622558.10,3849167.00,,,,,,,
285,tha.mon,278,5,5,L,36,31,24, ,tha.mon,shrub,622556.80,3849168.80,,,,,,,
286,u3,279,5,5,L,85,57,44, ,u3,shrub,622556.80,3849167.70,,,,,,,
287,ephedra,280,5,5,L,109,100,58, ,ephedra,shrub,622556.25,3849170.15,,,,,,,
288,lar.tri,281,5,4,R,330,266,176, ,lar.tri,shrub,622543.25,3849179.20,,,,,,,
289,u3,282,5,4,R,8,35,47,rooted in same place,u3,shrub,622541.45,3849179.05,,,,,,,
290,cyl.ram,283,5,4,R,47,41,75,rooted in same place,cyl.ram,cactus,622541.45,3849179.05,,,,,,,
291,ephedra,284,5,4,R,96,89,45, ,ephedra,shrub,622539.90,3849179.10,,,,,,,
292,u3,285,5,4,R,48,38,36, ,u3,shrub,622541.15,3849180.60,,,,,,,
293,u3,286,5,4,R,30,40,33, ,u3,shrub,622540.90,3849183.20,,,,,,,
295,ephedra,288,5,4,R,85,80,57, ,ephedra,shrub,622541.65,3849185.95,,,,,,,
296,men.spi,289,5,4,R,140,84,40, ,men.spi,shrub,622543.15,3849185.75,,,,,,,
298,?,291,5,4,R,35,32,30, ,noID,shrub,622545.05,3849185.40,,,,,,,
299,?,292,5,4,R,30,40,32, ,noID,shrub,622545.25,3849184.85,,,,,,,
300,u3,293,5,4,R,0,NA,NA,missing xyz measurements,u3,shrub,622546.30,3849185.15,,,,,,,
301,lar.tri,L130,5,4,R,273,215,211, ,lar.tri,shrub,622546.25,3849184.00,,,,,,,
302,men.spi,294,5,4,R,40,36,18, ,men.spi,shrub,622548.05,3849185.35,,,,,,,
303,u3,295,5,4,R,64,55,35, ,u3,shrub,622548.15,3849184.40,,,,,,,
304,u3,296,5,4,R,45,34,52, ,u3,shrub,622547.85,3849182.65,,,,,,,
305,cyl.ram,297,5,4,R,46,46,65, ,cyl.ram,cactus,622547.95,3849182.65,,,,,,,
306,u3,298,5,4,R,37,26,28, ,u3,shrub,622548.45,3849182.35,,,,,,,
307,lar.tri,L129,5,4,R,492,506,235, ,lar.tri,shrub,622547.50,3849177.75,,,,,,,
308,u3,299,5,4,R,62,50,40, ,u3,shrub,622544.85,3849177.70,,,,,,,
309,u3,300,5,4,R,79,62,42, ,u3,shrub,622545.05,3849178.95,,,,,,,
310,ephedra,301,5,4,L,122,98,50, ,ephedra,shrub,622551.20,3849179.35,,,,,,,
311,amb.sal,302,5,4,L,124,115,49, ,amb.sal,shrub,622552.95,3849177.60,,,,,,,
312,u3,303,5,4,L,84,47,37, ,u3,shrub,622553.70,3849178.35,,,,,,,
313,u3,304,5,4,L,64,57,46, ,u3,shrub,622552.70,3849179.70,,,,,,,
314,u3,305,5,4,L,56,42,44, ,u3,shrub,622552.70,3849180.65,,,,,,,
315,u3,306,5,4,L,52,39,43, ,u3,shrub,622552.70,3849181.15,,,,,,,
316,lar.tri,L120,5,4,L,330,296,185, ,lar.tri,shrub,622551.05,3849184.00,,,,,,,
317,men.spi,307,5,4,L,37,19,17, ,men.spi,shrub,622551.30,3849185.80,,,,,,,
,u3,,,,,24,22,43,,u3,shrub,622551.30,3849185.80,,,,,,,
318,cyl.ech,308,5,4,L,23,24,38, ,cyl.ech,cactus,622552.55,3849185.60,,,,,,,
319,u3,309,5,4,L,47,51,43, ,u3,shrub,622552.55,3849184.20,,,,,,,
320,u3,310,5,4,L,42,72,55, ,u3,shrub,622552.55,3849183.65,,,,,,,
321,cyl.ech,311,5,4,L,24,20,42, ,cyl.ech,cactus,622554.25,3849185.70,,,,,,,
322,u3,312,5,4,L,71,60,49, ,u3,shrub,622554.40,3849185.80,,,,,,,
323,u3,313,5,4,L,42,50,32, ,u3,shrub,622554.90,3849185.85,,,,,,,
324,u3,314,5,4,L,30,28,54, ,u3,shrub,622555.20,3849186.55,,,,,,,
325,amb.sal,315,5,4,L,69,45,74, ,amb.sal,shrub,622555.45,3849186.40,,,,,,,
326,cyl.ech,316,5,4,L,61,54,48, ,cyl.ech,cactus,622555.15,3849184.05,,,,,,,
327,lar.tri,317,5,4,L,11,9,10, ,lar.tri,shrub,622555.05,3849186.35,,,,,,,
328,tha.mon,318,5,4,L,85,60,69, ,tha.mon,shrub,622557.90,3849185.05,,,,,,,
329,amb.sal,319,5,4,L,85,60,69, ,amb.sal,shrub,622557.90,3849185.05,,,,,,,
330,u3,320,5,4,L,49,39,32, ,u3,shrub,622558.90,3849183.90,,,,,,,
331,ephedra,321,5,4,L,89,50,46, ,ephedra,shrub,622559.55,3849182.65,,,,,,,
332,ephedra,322,5,4,L,131,90,53, ,ephedra,shrub,622559.55,3849181.60,,,,,,,
333,u3,323,5,4,L,67,46,40, ,u3,shrub,622556.65,3849182.00,,,,,,,
334,cyl.ram,324,5,4,L,31,35,43, ,cyl.ram,cactus,622556.75,3849182.15,,,,,,,
335,tha.mon,325,5,4,L,69,43,38, ,tha.mon,shrub,622557.80,3849182.10,,,,,,,
336,u3,326,5,4,L,64,59,36, ,u3,shrub,622558.35,3849180.80,,,,,,,
337,u3,327,5,4,L,30,26,31, ,u3,shrub,622557.75,3849179.90,,,,,,,
338,u3,328,5,4,L,66,50,47, ,u3,shrub,622557.15,3849180.15,,,,,,,
339,amb.dum,329,5,4,L,44,29,37, ,amb.dum,shrub,622557.90,3849179.20,,,,,,,
340,men.spi,330,5,4,L,17,10,15, ,men.spi,shrub,622557.30,3849177.85,,,,,,,
341,u3,331,5,4,L,33,31,37, ,u3,shrub,622556.40,3849178.05,,,,,,,
342,u3,332,5,4,L,37,20,28, ,u3,shrub,622556.20,3849178.10,,,,,,,
343,cyl.ech,333,5,4,L,31,23,41, ,cyl.ech,cactus,622556.05,3849178.35,,,,,,,
344,ephedra,334,5,4,L,155,156,68, ,ephedra,shrub,622555.15,3849178.65,,,,,,,
345,u3,335,5,4,L,41,26,43, ,u3,shrub,622555.10,3849178.20,,,,,,,
346,ephedra,336,5,4,L,105,79,45, ,ephedra,shrub,622555.10,3849179.75,,,,,,,
347,ephedra,337,5,4,L,81,77,50, ,ephedra,shrub,622555.85,3849180.05,,,,,,,
348,u3,338,5,4,L,47,37,36, ,u3,shrub,622555.55,3849181.95,,,,,,,
349,yuc.sch,339,5,4,L,76,71,66, ,yuc.sch,yucca,622554.60,3849182.15,,,,,,,
350,u3,340,5,4,L,56,34,35, ,u3,shrub,622553.70,3849180.15,,,,,,,
351,u3,341,5,4,L,78,64,55, ,u3,shrub,622554.40,3849180.35,,,,,,,
352,amb.sal,342,5,3,R,111,109,73, ,amb.sal,shrub,622541.35,3849187.30,,,,,,,
353,u3,343,5,3,R,61,41,38, ,u3,shrub,622540.95,3849187.95,,,,,,,
354,amb.sal,344,5,3,R,80,60,69, ,amb.sal,shrub,622540.05,3849188.70,,,,,,,
355,ephedra,345,5,3,R,52,36,41, ,ephedra,shrub,622539.55,3849188.80,,,,,,,
356,sal.mex,346,5,3,R,69,42,70, ,sal.mex,shrub,622539.95,3849189.50,,,,,,,
357,PG,347,5,3,R,145,102,106, ,PG,shrub,622541.90,3849189.70,,,,,,,
358,u3,348,5,3,R,49,48,31, ,u3,shrub,622541.60,3849190.60,,,,,,,
359,u3,349,5,3,R,74,42,44, ,u3,shrub,622543.30,3849189.10,,,,,,,
360,cyl.ech,350,5,3,R,38,39,35, ,cyl.ech,cactus,622543.95,3849189.10,,,,,,,
361,u3,351,5,3,R,34,30,35, ,u3,shrub,622543.55,3849190.10,,,,,,,
362,u3,352,5,3,R,70,54,61, ,u3,shrub,622543.65,3849190.75,,,,,,,
363,cyl.ech,353,5,3,R,26,28,32, ,cyl.ech,cactus,622543.70,3849190.85,,,,,,,
364,ephedra,354,5,3,R,120,144,49, ,ephedra,shrub,622544.20,3849191.10,,,,,,,
365,u3,355,5,3,R,23,20,35, ,u3,shrub,622544.75,3849191.10,,,,,,,
366,lar.tri,356,5,3,R,153,176,229, ,lar.tri,shrub,622541.45,3849193.95,,,,,,,
367,u3,357,5,3,R,51,30,40, ,u3,shrub,622539.75,3849194.85,,,,,,,
368,cyl.ech,358,5,3,R,10,10,15, ,cyl.ech,cactus,622539.65,3849195.05,,,,,,,
369,men.spi,359,5,3,R,64,63,42, ,men.spi,shrub,622541.00,3849195.90,,,,,,,
370,u3,360,5,3,R,97,95,43, ,u3,shrub,622541.70,3849195.10,,,,,,,
371,cyl.ech,361,5,3,R,32,21,27, ,cyl.ech,cactus,622542.35,3849195.85,,,,,,,
372,u3,362,5,3,R,85,51,45, ,u3,shrub,622543.35,3849195.45,,,,,,,
373,u3,363,5,3,R,83,51,55, ,u3,shrub,622542.70,3849193.05,,,,,,,
374,ephedra,364,5,3,R,67,43,42, ,ephedra,shrub,622544.55,3849194.75,,,,,,,
375,u3,365,5,3,R,49,40,44, ,u3,shrub,622546.50,3849195.30,,,,,,,
376,men.spi,366,5,3,R,16,13,10, ,men.spi,shrub,622547.85,3849195.50,,,,,,,
377,u3,367,5,3,R,40,30,33, ,u3,shrub,622549.30,3849196.05,,,,,,,
378,u3,368,5,3,R,56,49,48, ,u3,shrub,622548.10,3849194.25,,,,,,,
379,cyl.ech,369,5,3,R,46,32,34, ,cyl.ech,cactus,622549.10,3849191.70,,,,,,,
380,u3,370,5,3,R,34,22,24, ,u3,shrub,622546.45,3849191.80,,,,,,,
381,lar.tri,L132,5,3,R,134,76,74, ,lar.tri,shrub,622546.15,3849190.60,,,,,,,
382,ephedra,371,5,3,R,87,55,60, ,ephedra,shrub,622546.95,3849190.30,,,,,,,
383,u3,372,5,3,R,87,50,53, ,u3,shrub,622547.10,3849189.95,,,,,,,
384,u3,373,5,3,R,75,57,49, ,u3,shrub,622547.65,3849188.35,,,,,,,
385,u3,374,5,3,R,75,57,49, ,u3,shrub,622549.10,3849188.35,,,,,,,
386,u3,375,5,3,R,15,15,20, ,u3,shrub,622548.60,3849187.95,,,,,,,
387,lar.tri,L131,5,3,R,455,315,252, ,lar.tri,shrub,622548.25,3849187.20,,,,,,,
388,ephedra,376,5,3,R,43,36,52, ,ephedra,shrub,622547.05,3849187.20,,,,,,,
389,ephedra,377,5,3,R,117,74,75, ,ephedra,shrub,622546.65,3849187.75,,,,,,,
390,cyl.ech,378,5,3,R,32,26,37, ,cyl.ech,cactus,622547.15,3849188.70,,,,,,,
391,u3,379,5,3,R,35,26,35, ,u3,shrub,622544.75,3849186.85,,,,,,,
392,tha.mon,380,5,3,R,78,51,40, ,tha.mon,shrub,622544.45,3849186.80,,,,,,,
393,u3,381,5,3,R,22,9,24, ,u3,shrub,622544.10,3849187.20,,,,,,,
394,u3,382,5,3,L,88,65,50, ,u3,shrub,622550.75,3849187.10,,,,,,,
395,ephedra,383,5,3,L,57,51,50, ,ephedra,shrub,622552.70,3849187.05,,,,,,,
396,tha.mon,384,5,3,L,44,46,35, ,tha.mon,shrub,622555.05,3849187.05,,,,,,,
397,u3,385,5,3,L,42,47,43, ,u3,shrub,622552.15,3849190.00,,,,,,,
398,men.spi,386,5,3,L,67,56,29, ,men.spi,shrub,622550.65,3849190.90,,,,,,,
399,men.spi,387,5,3,L,40,33,20, ,men.spi,shrub,622549.70,3849192.05,,,,,,,
400,u3,388,5,3,L,79,67,55, ,u3,shrub,622552.75,3849191.35,,,,,,,
401,amb.sal,389,5,3,L,70,56,58, ,amb.sal,shrub,622550.60,3849193.15,,,,,,,
402,cyl.ech,390,5,3,L,70,56,58, ,cyl.ech,cactus,622550.60,3849193.45,,,,,,,
403,u3,391,5,3,L,94,61,48, ,u3,shrub,622550.15,3849195.30,,,,,,,
404,lar.tri,L119,5,3,L,486,457,223, ,lar.tri,shrub,622553.35,3849193.80,,,,,,,
,tha.mon,,,,,67,55,53,,tha.mon,shrub,622553.85,3849193.45,,,,,,,
405,lar.tri,392,5,3,L,350,286,150,"ring, 5 stems",lar.tri,shrub,622557.15,3849194.90,,,,,,,
406,u3,393,5,3,L,75,72,54, ,u3,shrub,622559.55,3849195.30,,,,,,,
407,u3,394,5,3,L,36,38,38, ,u3,shrub,622559.55,3849194.35,,,,,,,
408,yuc.sch,395,5,3,L,150,136,185, ,yuc.sch,yucca,622557.85,3849192.00,,,,,,,
409,u3,396,5,3,L,57,42,54, ,u3,shrub,622557.75,3849190.20,,,,,,,
410,cyl.ram,397,5,3,L,80,61,60, ,cyl.ram,cactus,622557.05,3849188.40,,,,,,,
411,ephedra,398,5,3,L,17,17,38, ,ephedra,shrub,622558.90,3849188.80,,,,,,,
412,yuc.sch,399,5,3,L,185,175,235, ,yuc.sch,yucca,622559.05,3849188.10,,,,,,,
413,?,400,5,3,L,84,51,65,"green flower, red stem",noID,shrub,622558.70,3849187.75,,,,,,,
414,u3,401,5,3,L,73,43,36, ,u3,shrub,622557.45,3849187.25,,,,,,,
415,u3,402,5,3,L,81,56,44, ,u3,shrub,622556.00,3849186.90,,,,,,,
416,ephedra,403,5,3,L,155,153,60,ring,ephedra,shrub,622553.90,3849189.75,,,,,,,
417,u3,404,5,2,R,70,35,36, ,u3,shrub,622540.65,3849197.70,,,,,,,
418,tha.mon,405,5,2,R,51,62,40, ,tha.mon,shrub,622540.00,3849198.80,,,,,,,
419,yuc.sch,406,5,2,R,102,113,128,half dead,yuc.sch,yucca,622539.90,3849200.80,,,,,,,
420,lar.tri,407,5,2,R,17,13,12, ,lar.tri,shrub,622542.25,3849200.65,,,,,,,
421,ephedra,408,5,2,R,108,76,77, ,ephedra,shrub,622542.60,3849201.40,,,,,,,
422,ephedra,409,5,2,R,90,59,46, ,ephedra,shrub,622543.65,3849201.65,,,,,,,
423,u3,410,5,2,R,78,87,59, ,u3,shrub,622541.70,3849203.10,,,,,,,
424,amb.sal,411,5,2,R,83,65,62, ,amb.sal,shrub,622540.80,3849202.75,,,,,,,
425,u3,412,5,2,R,27,38,41, ,u3,shrub,622540.45,3849202.85,,,,,,,
426,u3,413,5,2,R,34,47,39, ,u3,shrub,622540.55,3849203.30,,,,,,,
427,u3,414,5,2,R,80,54,35, ,u3,shrub,622540.10,3849203.50,,,,,,,
428,amb.sal,415,5,2,R,72,85,59, ,amb.sal,shrub,622543.35,3849206.50,,,,,,,
429,lar.tri,416,5,2,R,430,455,215, ,lar.tri,shrub,622543.90,3849206.60,,,,,,,
430,u3,417,5,2,R,89,64,48, ,u3,shrub,622545.80,3849207.70,,,,,,,
431,lar.tri,L135,5,2,R,117,105,113, ,lar.tri,shrub,622546.35,3849205.30,,,,,,,
432,lar.tri,418,5,2,R,193,170,171,might be tagged as one,lar.tri,shrub,622546.85,3849206.60,,,,,,,
433,ephedra,419,5,2,R,39,37,19, ,ephedra,shrub,622549.15,3849206.65,,,,,,,
434,u3,420,5,2,R,51,47,45, ,u3,shrub,622547.80,3849205.90,,,,,,,
435,tha.mon,421,5,2,R,68,63,35, ,tha.mon,shrub,622549.15,3849204.55,,,,,,,
,u3,,,,,38,36,24,,u3,shrub,622549.55,3849204.05,,,,,,,
436,u3,422,5,2,R,42,31,33, ,u3,shrub,622546.95,3849204.00,,,,,,,
437,u3,423,5,2,R,71,73,47, ,u3,shrub,622546.50,3849203.50,,,,,,,
438,u3,424,5,2,R,49,68,46, ,u3,shrub,622548.05,3849203.40,,,,,,,
439,ephedra,425,5,2,R,97,80,56, ,ephedra,shrub,622548.05,3849202.85,,,,,,,
440,u3,426,5,2,R,70,60,47, ,u3,shrub,622549.20,3849199.80,,,,,,,
441,u3,427,5,2,R,75,87,54, ,u3,shrub,622547.80,3849199.20,,,,,,,
442,lar.tri,L133,5,2,R,176,182,137, ,lar.tri,shrub,622549.05,3849198.00,,,,,,,
,u3,,,,,17,17,35,,u3,shrub,622549.05,3849197.65,,,,,,,
443,lar.tri,L134,5,2,R,366,372,187, ,lar.tri,shrub,622545.45,3849198.70,,,,,,,
444,lar.tri,L118,5,2,L,107,88,88, ,lar.tri,shrub,622551.50,3849198.25,,,,,,,
445,ephedra,428,5,2,L,70,40,48, ,ephedra,shrub,622553.00,3849200.85,,,,,,,
446,tha.mon,429,5,2,L,89,36,43, ,tha.mon,shrub,622552.80,3849201.20,,,,,,,
447,ephedra,430,5,2,L,165,127,89, ,ephedra,shrub,622550.65,3849202.50,,,,,,,
,ephedra,,,,,26,20,21,,ephedra,shrub,622550.65,3849201.05,,,,,,,
448,ephedra,431,5,2,L,104,72,48, ,ephedra,shrub,622553.05,3849204.80,,,,,,,
449,lar.tri,L115,5,2,L,417,124,235, ,lar.tri,shrub,622551.25,3849207.20,,,,,,,
450,lar.tri,L116,5,2,L,305,290,290, ,lar.tri,shrub,622557.15,3849206.70,,,,,,,
451,u3,432,5,2,L,50,37,38, ,u3,shrub,622559.05,3849208.20,,,,,,,
452,u3,433,5,2,L,56,40,34, ,u3,shrub,622558.55,3849207.05,,,,,,,
453,u3,434,5,2,L,36,30,35, ,u3,shrub,622559.10,3849198.90,,,,,,,
454,lar.tri,L117,5,2,L,596,498,280, ,lar.tri,shrub,622555.55,3849200.30,,,,,,,
456,ephedra,436,5,1,R,80,60,80, ,ephedra,shrub,622542.35,3849208.35,,,,,,,
457,ephedra,437,5,1,R,54,50,59, ,ephedra,shrub,622540.95,3849208.80,,,,,,,
458,u3,438,5,1,R,52,36,39, ,u3,shrub,622541.05,3849209.75,,,,,,,
459,tha.mon,439,5,1,R,18,15,14, ,tha.mon,shrub,622541.45,3849209.40,,,,,,,
460,u3,440,5,1,R,31,19,30, ,u3,shrub,622541.85,3849210.65,,,,,,,
461,u3,441,5,1,R,64,52,54, ,u3,shrub,622541.15,3849210.75,,,,,,,
462,amb.sal,442,5,1,R,67,88,59, ,amb.sal,shrub,622540.80,3849211.15,,,,,,,
463,u3,443,5,1,R,58,33,29, ,u3,shrub,622540.05,3849211.80,,,,,,,
464,u3,444,5,1,R,45,29,29, ,u3,shrub,622541.60,3849211.70,,,,,,,
465,u3,445,5,1,R,90,50,63, ,u3,shrub,622541.30,3849212.55,,,,,,,
466,amb.sal,446,5,1,R,73,68,60, ,amb.sal,shrub,622541.85,3849213.10,,,,,,,
467,u3,447,5,1,R,38,32,26, ,u3,shrub,622542.00,3849213.40,,,,,,,
468,lar.tri,448,5,1,R,287,305,192,6 stems,lar.tri,shrub,622540.30,3849208.00,,,,,,,
469,cyl.ram,449,5,1,R,61,28,58, ,cyl.ram,cactus,622540.95,3849216.50,,,,,,,
470,tha.mon,450,5,1,R,88,72,42, ,tha.mon,shrub,622540.90,3849217.60,,,,,,,
471,amb.sal,451,5,1,R,58,47,80, ,amb.sal,shrub,622542.65,3849216.80,,,,,,,
472,u3,452,5,1,R,47,36,46, ,u3,shrub,622542.85,3849216.55,,,,,,,
473,amb.sal,453,5,1,R,65,50,68, ,amb.sal,shrub,622543.10,3849216.25,,,,,,,
474,amb.sal,454,5,1,R,52,28,49, ,amb.sal,shrub,622543.25,3849216.55,,,,,,,
475,amb.sal,455,5,1,R,44,39,43, ,amb.sal,shrub,622543.65,3849216.25,,,,,,,
476,amb.dum,456,5,1,R,46,55,30, ,amb.dum,shrub,622544.30,3849215.60,,,,,,,
477,tha.mon,457,5,1,R,89,70,50, ,tha.mon,shrub,622544.85,3849217.30,,,,,,,
478,cyl.ech,458,5,1,R,64,47,50, ,cyl.ech,cactus,622545.30,3849214.05,,#REF!,,,,,
479,u3,459,5,1,R,74,33,33, ,u3,shrub,622545.30,3849214.05,,#REF!,,,,,
480,u3,460,5,1,R,46,43,36, ,u3,shrub,622545.10,3849213.35,,#REF!,,,,,
481,men.spi,461,5,1,R,45,36,23, ,men.spi,shrub,622545.55,3849212.65,,#REF!,,,,,
482,cyl.ech,462,5,1,R,72,28,53, ,cyl.ech,cactus,622546.15,3849213.55,,#REF!,3849214.852,1.3,,,
483,u3,463,5,1,R,94,52,53, ,u3,shrub,622546.35,3849213.70,,#REF!,,,,,
484,amb.dum,464,5,1,R,44,43,39, ,amb.dum,shrub,622546.15,3849214.25,,#REF!,,,,,
485,ephedra,465,5,1,R,69,40,50, ,ephedra,shrub,622546.20,3849214.05,,#REF!,,,,,
486,amb.sal,466,5,1,R,26,21,27, ,amb.sal,shrub,622547.35,3849215.70,,,,,,,
487,ephedra,467,5,1,R,154,112,61, ,ephedra,shrub,622548.75,3849215.85,,,,,,,
,u3,,,,,10,5,57,"inside ephedra, xy likely incorrect",u3,shrub,622548.75,3849215.85,,,,,,,
488,amb.sal,468,5,1,R,53,68,73, ,amb.sal,shrub,622546.20,3849212.90,,#REF!,,,,,
489,amb.sal,469,5,1,R,62,45,70, ,amb.sal,shrub,622547.30,3849213.80,,,,,,,
490,amb.sal,470,5,1,R,30,37,50, ,amb.sal,shrub,622547.55,3849214.10,,,,,,,
491,amb.sal,471,5,1,R,100,96,79, ,amb.sal,shrub,622547.95,3849213.80,,,,,,,
492,u3,472,5,1,R,33,32,40, ,u3,shrub,622549.40,3849213.90,,,,,,,
493,cyl.ram,473,5,1,R,103,110,112, ,cyl.ram,cactus,622549.55,3849213.55,,,3849213.552,,,,
494,tha.mon,474,5,1,R,36,34,22, ,tha.mon,shrub,622547.20,3849212.55,,,,,,,
495,amb.sal,475,5,1,R,80,60,50, ,amb.sal,shrub,622548.40,3849212.25,,,,,,,
496,cyl.ech,476,5,1,R,30,29,31, ,cyl.ech,cactus,622549.40,3849211.05,,,,,,,
497,u3,477,5,1,R,52,34,24, ,u3,shrub,622549.35,3849211.05,,,,,,,
498,amb.sal,478,5,1,R,85,86,70, ,amb.sal,shrub,622549.45,3849209.00,,,,,,,
499,amb.sal,479,5,1,R,57,26,50, ,amb.sal,shrub,622548.90,3849207.85,,,,,,,
500,u3,480,5,1,R,50,47,33, ,u3,shrub,622548.40,3849207.95,,,,,,,
501,amb.sal,481,5,1,R,77,66,42, ,amb.sal,shrub,622546.60,3849209.55,,,,,,,
502,u3,482,5,1,R,65,40,42, ,u3,shrub,622545.05,3849209.65,,,,,,,
503,u3,483,5,1,R,42,42,46, ,u3,shrub,622543.70,3849209.05,,,,,,,
504,u3,484,5,1,L,51,46,45, ,u3,shrub,622550.10,3849207.60,,,,,,,
505,men.spi,485,5,1,L,86,75,45, ,men.spi,shrub,622550.20,3849209.00,,,,,,,
506,u3,486,5,1,L,56,43,36, ,u3,shrub,622550.25,3849209.45,,,,,,,
507,tha.mon,487,5,1,L,66,50,28, ,tha.mon,shrub,622550.30,3849209.75,,,,,,,
508,u3,488,5,1,L,71,77,49, ,u3,shrub,622552.05,3849209.60,,,,,,,
509,u3,490,5,1,L,99,62,56, ,u3,shrub,622550.40,3849211.05,,,,,,,
510,u3,491,5,1,L,42,38,32, ,u3,shrub,622551.95,3849210.90,,,,,,,
511,u3,492,5,1,L,50,45,28, ,u3,shrub,622551.20,3849212.20,,,,,,,
512,amb.sal,493,5,1,L,76,64,60, ,amb.sal,shrub,622552.10,3849212.75,,,,,,,
513,ephedra,494,5,1,L,40,35,50, ,ephedra,shrub,622551.10,3849214.80,,,,,,,
514,ephedra,495,5,1,L,55,44,54, ,ephedra,shrub,622551.10,3849215.40,,,,,,,
515,lar.tri,496,5,1,L,325,273,173, ,lar.tri,shrub,622551.20,3849216.60,,,,,,,
516,amb.sal,497,5,1,L,56,60,38, ,amb.sal,shrub,622553.90,3849217.35,,,,,,,
517,amb.sal,498,5,1,L,65,63,60, ,amb.sal,shrub,622553.85,3849215.25,,,,,,,
518,u3,499,5,1,L,46,36,37, ,u3,shrub,622554.25,3849214.55,,,,,,,
519,sal.mex,500,5,1,L,80,80,53, ,sal.mex,shrub,622554.25,3849215.95,,,,,,,
520,eri.fas,501,5,1,L,27,14,45, ,eri.fas,shrub,622554.55,3849216.55,,,,,,,
521,sal.mex,502,5,1,L,42,30,47, ,sal.mex,shrub,622554.50,3849216.55,,,,,,,
522,u3,503,5,1,L,74,58,44, ,u3,shrub,622556.15,3849217.05,,,,,,,
523,amb.sal,504,5,1,L,129,113,79, ,amb.sal,shrub,622558.40,3849216.40,,,,,,,
524,lar.tri,505,5,1,L,140,142,100, ,lar.tri,shrub,622559.00,3849215.00,,,,,,,
525,u3,506,5,1,L,56,40,32, ,u3,shrub,622559.40,3849214.50,,,,,,,
526,u3,507,5,1,L,44,20,45, ,u3,shrub,622559.00,3849215.10,,,,,,,
527,amb.sal,508,5,1,L,87,70,68, ,amb.sal,shrub,622556.25,3849214.25,,,,,,,
528,ephedra,509,5,1,L,112,78,56, ,ephedra,shrub,622555.15,3849214.00,,,,,,,
529,yuc.sch,510,5,1,L,166,155,155, ,yuc.sch,yucca,622554.65,3849212.80,,,,,,,
530,amb.sal,511,5,1,L,85,62,60, ,amb.sal,shrub,622554.05,3849212.80,,,,,,,
531,ephedra,512,5,1,L,165,159,60, ,ephedra,shrub,622558.45,3849212.90,,,,,,,
532,men.spi,513,5,1,L,50,41,42, ,men.spi,shrub,622558.10,3849212.65,,,,,,,
533,tha.mon,514,5,1,L,60,46,30, ,tha.mon,shrub,622557.05,3849212.35,,,,,,,
534,tha.mon,515,5,1,L,35,27,26, ,tha.mon,shrub,622557.25,3849212.40,,,,,,,
535,u3,516,5,1,L,74,64,45, ,u3,shrub,622557.85,3849212.05,,,,,,,
536,u3,517,5,1,L,56,37,41, ,u3,shrub,622558.85,3849211.80,,,,,,,
537,ephedra,518,5,1,L,20,28,36, ,ephedra,shrub,622557.70,3849210.65,,,,,,,
538,lar.tri,519,5,1,L,304,348,206, ,lar.tri,shrub,622558.55,3849208.95,,,,,,,
539,u3,520,5,1,L,50,45,33, ,u3,shrub,622556.35,3849208.10,,,,,,,
540,cyl.ram,521,5,1,L,68,86,80, ,cyl.ram,cactus,622555.55,3849208.95,,,,,,,
541,ephedra,522,5,1,L,85,46,35, ,ephedra,shrub,622555.35,3849208.85,,,,,,,
542,ephedra,523,5,1,L,54,45,44, ,ephedra,shrub,622555.95,3849210.50,,,,,,,
543,yuc.sch,524,5,1,L,38,28,32, ,yuc.sch,yucca,622556.05,3849210.85,,,,,,,
544,ephedra,525,5,1,L,76,86,45, ,ephedra,shrub,622555.15,3849210.75,,,,,,,
545,u3,526,5,1,L,70,80,58, ,u3,shrub,622553.95,3849208.10,,,,,,,
546,amb.sal,527,5,1,L,79,59,70, ,amb.sal,shrub,622553.35,3849207.95,,,,,,,
,amb.sal,,,,,45,32,50,,amb.sal,shrub,622553.00,3849207.35,,,,,,,
547,amb.sal,528,5,1,L,30,35,38, ,amb.sal,shrub,622550.90,3849207.85,,,,,,,
548,u3,529,5,1,L,112,80,57, ,u3,shrub,622553.90,3849209.95,,,,,,,
549,u3,530,5,1,L,52,53,35, ,u3,shrub,622555.80,3849211.50,,,,,,,
551,u3,532,5,1,L,67,74,45, ,u3,shrub,622551.95,3849209.60,,,,,,,
