FID,FID_,Species,Name,Width,Length,Height,Transect,QN,QL,X,Y,Notes,sp_simp,Type,easting,northing,ID,MapID,buff
1660,620,amb.sal, ,94,84,58,4,1,R,0,0, ,amb.sal,shrub,622477.194,3849318.502,0,621,0.47
1670,630,amb.sal, ,66,39,56,4,1,L,0,0, ,amb.sal,shrub,622483.444,3849316.202,0,631,0.33
1671,631,amb.sal, ,90,83,65,4,1,L,0,0, ,amb.sal,shrub,622483.694,3849318.152,0,632,0.45
1675,635,amb.sal, ,72,80,60,4,1,L,0,0, ,amb.sal,shrub,622481.744,3849317.552,0,636,0.36
1676,636,amb.sal, ,111,72,70,4,1,L,0,0, ,amb.sal,shrub,622480.994,3849317.502,0,637,0.555
1684,643,amb.sal, ,100,75,85,4,1,L,0,0, ,amb.sal,shrub,622483.144,3849321.152,0,644,0.5
1699,659,amb.sal, ,112,90,70,4,1,L,0,0, ,amb.sal,shrub,622490.094,3849323.702,0,660,0.56
1703,663,amb.sal, ,110,80,73,4,1,L,0,0, ,amb.sal,shrub,622489.994,3849321.302,0,664,0.55
1704,664,amb.sal, ,72,6,65,4,1,L,0,0, ,amb.sal,shrub,622487.144,3849320.302,0,665,0.36
1731,0,amb.sal, ,60,40,55,4,0, ,0,0, ,amb.sal,shrub,622484.3976,3849290.745,0,0,0.3
1041,1,col.ram, ,63,43,66,4,8,R,0,0, ,col.ram,shrub,622473.694,3849247.602,0,2,0.315
199,200,cyl.aca, ,26,39,63,6,5,R,165,430, ,cyl.aca,cactus,622556.9635,3849095.499,0,0,0.13
1355,308,cyl.aca, ,77,64,88,4,4,R,0,0, ,cyl.aca,cactus,622478.194,3849290.552,0,309,0.385
1412,364,cyl.aca, ,210,173,134,4,3,R,0,0, ,cyl.aca,cactus,622470.694,3849296.552,0,365,1.05
1563,519,cyl.aca, ,21,5,52,4,2,L,0,0, ,cyl.aca,cactus,622480.744,3849311.402,0,520,0.105
1630,589,cyl.aca, ,14,14,25,4,1,R,0,0, ,cyl.aca,cactus,622472.344,3849323.452,0,590,0.07
1698,658,cyl.aca, ,129,136,108,4,1,L,0,0, ,cyl.aca,cactus,622486.894,3849322.852,0,659,0.645
1700,660,cyl.aca, ,8,5,31,4,1,L,0,0, ,cyl.aca,cactus,622489.944,3849323.602,0,661,0.04
11,11,cyl.ech, ,45,35,48,6,8,R,305,504, ,cyl.ech,cactus,622558.3635,3849066.239,0,0,0.225
20,20,cyl.ech, ,13,23,45,6,8,R,289,784, ,cyl.ech,cactus,622558.2035,3849069.039,0,0,0.065
48,49,cyl.ech, ,37,41,33,6,8,L,445,465, ,cyl.ech,cactus,622569.7635,3849065.849,0,0,0.185
66,67,cyl.ech, ,31,22,40,6,7,R,20,345, ,cyl.ech,cactus,622555.5135,3849074.649,0,0,0.155
149,0,cyl.ech, ,30,29,25,6,0, ,0,0, ,cyl.ech,cactus,622560.5635,3849086.449,0,0,0.15
150,152,cyl.ech, ,23,21,20,6,6,R,765,525, ,cyl.ech,cactus,622561.0135,3849087.299,0,0,0.115
154,156,cyl.ech, ,25,26,46,6,6,R,690,595, ,cyl.ech,cactus,622562.2135,3849087.149,0,0,0.125
192,193,cyl.ech, ,33,40,46,6,6,L,550,85, ,cyl.ech,cactus,622570.8135,3849082.049,0,0,0.165
200,201,cyl.ech, ,29,28,25,6,5,R,45,870, ,cyl.ech,cactus,622555.827,3849096.692,0,0,0.145
208,209,cyl.ech, ,37,35,31,6,5,R,970,20, ,cyl.ech,cactus,622565.0135,3849091.399,0,0,0.185
217,218,cyl.ech, ,23,28,49,6,5,L,480,740, ,cyl.ech,cactus,622570.177,3849095.392,0,0,0.115
229,230,cyl.ech, ,44,63,35,6,5,L,900,785, ,cyl.ech,cactus,622574.377,3849095.842,0,0,0.22
243,244,cyl.ech, ,45,51,45,6,4,R,100,740, ,cyl.ech,cactus,622556.377,3849105.392,0,0,0.225
275,277,cyl.ech, ,57,76,71,6,4,L,1000,810, ,cyl.ech,cactus,622575.377,3849106.092,0,0,0.285
310,313,cyl.ech, ,35,30,44,6,3,R,220,470, ,cyl.ech,cactus,622557.577,3849112.692,0,0,0.175
317,320,cyl.ech, ,21,23,17,6,3,R,220,730, ,cyl.ech,cactus,622557.577,3849115.292,0,0,0.105
344,347,cyl.ech, ,35,22,36,6,3,L,980,25, ,cyl.ech,cactus,622575.177,3849108.242,0,0,0.175
390,395,cyl.ech, ,37,17,44,6,2,L,175,945, ,cyl.ech,cactus,622567.127,3849129.042,0,0,0.185
433,439,cyl.ech, ,35,42,58,6,1,R,880,140, ,cyl.ech,cactus,622562.5208,3849130.852,0,0,0.175
455,460,cyl.ech, ,44,53,56,6,1,L,860,730, ,cyl.ech,cactus,622574.0035,3849137.454,0,0,0.22
468,0,cyl.ech, ,40,52,53,6,0, ,0,0, ,cyl.ech,cactus,622563.8856,3849126.197,0,0,0.2
494,20,cyl.ech, ,65,64,50,5,8,R,0,0, ,cyl.ech,cactus,622544.7,3849145.6,21,0,0.325
500,26,cyl.ech, ,40,34,55,5,8,R,0,0, ,cyl.ech,cactus,622549.2,3849142.05,27,0,0.2
521,48,cyl.ech, ,19,17,43,5,8,L,0,0, ,cyl.ech,cactus,622550,3849143.15,49,0,0.095
555,82,cyl.ech, ,25,31,36,5,7,R,0,0, ,cyl.ech,cactus,622542.25,3849147.8,83,0,0.125
625,153,cyl.ech, ,34,23,33,5,6,R,0,0, ,cyl.ech,cactus,622543.75,3849160,152,0,0.17
695,223,cyl.ech, ,28,27,35,5,6,L,0,0, ,cyl.ech,cactus,622555.55,3849158.7,218,0,0.14
710,238,cyl.ech, ,47,37,47,5,5,R,0,0, ,cyl.ech,cactus,622548,3849170.2,233,0,0.235
717,245,cyl.ech, ,30,19,30,5,5,L,0,0, ,cyl.ech,cactus,622553.7,3849169.15,239,0,0.15
791,318,cyl.ech, ,23,24,38,5,4,L,0,0, ,cyl.ech,cactus,622552.55,3849185.6,308,0,0.115
794,321,cyl.ech, ,24,20,42,5,4,L,0,0, ,cyl.ech,cactus,622554.25,3849185.7,311,0,0.12
799,326,cyl.ech, ,61,54,48,5,4,L,0,0, ,cyl.ech,cactus,622555.15,3849184.05,316,0,0.305
816,343,cyl.ech, ,31,23,41,5,4,L,0,0, ,cyl.ech,cactus,622556.05,3849178.35,333,0,0.155
833,360,cyl.ech, ,38,39,35,5,3,R,0,0, ,cyl.ech,cactus,622543.95,3849189.1,350,0,0.19
836,363,cyl.ech, ,26,28,32,5,3,R,0,0, ,cyl.ech,cactus,622543.7,3849190.85,353,0,0.13
841,368,cyl.ech, ,10,10,15,5,3,R,0,0, ,cyl.ech,cactus,622539.65,3849195.05,358,0,0.05
844,371,cyl.ech, ,32,21,27,5,3,R,0,0, ,cyl.ech,cactus,622542.35,3849195.85,361,0,0.16
852,379,cyl.ech, ,46,32,34,5,3,R,0,0, ,cyl.ech,cactus,622549.1,3849191.7,369,0,0.23
863,390,cyl.ech, ,32,26,37,5,3,R,0,0, ,cyl.ech,cactus,622547.15,3849188.7,378,0,0.16
875,402,cyl.ech, ,70,56,58,5,3,L,0,0, ,cyl.ech,cactus,622550.6,3849193.45,390,0,0.35
954,478,cyl.ech, ,64,47,50,5,1,R,0,0, ,cyl.ech,cactus,622544.3343,3849214.037,458,0,0.32
958,482,cyl.ech, ,72,28,53,5,1,R,0,0, ,cyl.ech,cactus,622546.2029,3849212.961,462,0,0.36
973,496,cyl.ech, ,30,29,31,5,1,R,0,0, ,cyl.ech,cactus,622549.4,3849211.05,476,0,0.15
1058,17,cyl.ech, ,29,26,28,4,8,R,0,0, ,cyl.ech,cactus,622478.194,3849254.052,0,18,0.145
1112,71,cyl.ech, ,42,33,36,4,8,L,0,0, ,cyl.ech,cactus,622488.144,3849250.552,0,72,0.21
1167,124,cyl.ech, ,41,36,62,4,7,R,0,0, ,cyl.ech,cactus,622476.544,3849260.952,0,125,0.205
1205,163,cyl.ech, ,45,31,24,4,7,L,0,0, ,cyl.ech,cactus,622490.394,3849257.402,0,164,0.225
1247,0,cyl.ech, ,23,20,19,4,0, ,0,0, ,cyl.ech,cactus,622475.394,3849269.602,0,0,0.115
1278,232,cyl.ech, ,50,39,56,4,6,L,0,0, ,cyl.ech,cactus,622488.794,3849268.252,0,233,0.25
1289,242,cyl.ech, ,22,10,20,4,5,R,0,0, ,cyl.ech,cactus,622477.294,3849283.852,0,243,0.11
1314,267,cyl.ech, ,26,24,26,4,5,L,0,0, ,cyl.ech,cactus,622486.744,3849281.602,0,268,0.13
1342,295,cyl.ech, ,50,42,29,4,4,R,0,0, ,cyl.ech,cactus,622475.5197,3849292.085,0,296,0.25
1381,333,cyl.ech, ,69,39,70,4,4,L,0,0, ,cyl.ech,cactus,622481.244,3849292.402,0,334,0.345
1403,355,cyl.ech, ,50,40,55,4,4,L,0,0, ,cyl.ech,cactus,622488.744,3849290.552,0,356,0.25
1438,390,cyl.ech, ,54,39,60,4,3,R,0,0, ,cyl.ech,cactus,622477.294,3849304.502,0,391,0.27
1457,409,cyl.ech, ,43,47,51,4,3,R,0,0, ,cyl.ech,cactus,622475.844,3849299.402,0,410,0.215
1503,459,cyl.ech, ,49,30,40,4,2,R,0,0, ,cyl.ech,cactus,622471.844,3849307.052,0,460,0.245
1508,464,cyl.ech, ,15,14,18,4,2,R,0,0, ,cyl.ech,cactus,622470.844,3849307.802,0,465,0.075
1538,494,cyl.ech, ,38,34,23,4,2,R,0,0, ,cyl.ech,cactus,622479.544,3849311.402,0,495,0.19
1585,542,cyl.ech, ,73,50,76,4,2,L,0,0, ,cyl.ech,cactus,622487.044,3849313.602,0,543,0.365
1705,665,cyl.ech, ,37,26,46,4,1,L,0,0, ,cyl.ech,cactus,622487.144,3849320.302,0,666,0.185
17,17,cyl.ram, ,168,151,102,6,8,R,66,930, ,cyl.ram,cactus,622555.9735,3849070.499,0,0,0.84
82,84,cyl.ram, ,14,16,40,6,7,R,710,970, ,cyl.ram,cactus,622562.4135,3849080.899,0,0,0.07
93,95,cyl.ram, ,7,5,16,6,7,R,320,245, ,cyl.ram,cactus,622558.5135,3849073.649,0,0,0.035
118,120,cyl.ram, ,15,26,40,6,7,L,510,845, ,cyl.ram,cactus,622570.4135,3849079.649,0,0,0.075
120,122,cyl.ram, ,33,22,45,6,7,L,590,800, ,cyl.ram,cactus,622571.2135,3849079.199,0,0,0.165
131,132,cyl.ram, ,63,65,60,6,7,L,680,165, ,cyl.ram,cactus,622572.1135,3849072.849,0,0,0.315
172,174,cyl.ram, ,44,47,66,6,6,L,680,905, ,cyl.ram,cactus,622572.1135,3849090.249,0,0,0.22
220,221,cyl.ram, ,18,8,10,6,5,L,485,740, ,cyl.ram,cactus,622570.227,3849095.392,0,0,0.09
281,283,cyl.ram, ,144,149,97,6,4,L,615,500, ,cyl.ram,cactus,622571.527,3849102.992,0,0,0.72
286,289,cyl.ram, ,13,14,30,6,4,L,475,5, ,cyl.ram,cactus,622570.127,3849098.042,0,0,0.065
288,291,cyl.ram, ,76,39,60,6,4,L,395,275, ,cyl.ram,cactus,622569.327,3849100.742,0,0,0.38
295,298,cyl.ram, ,9,9,10,6,4,L,700,105, ,cyl.ram,cactus,622572.377,3849099.042,0,0,0.045
334,337,cyl.ram, ,28,24,18,6,3,L,130,185, ,cyl.ram,cactus,622566.677,3849109.842,0,0,0.14
355,358,cyl.ram, ,15,15,17,6,2,R,180,755, ,cyl.ram,cactus,622557.177,3849127.142,0,0,0.075
357,360,cyl.ram, ,18,19,21,6,2,R,465,175, ,cyl.ram,cactus,622560.027,3849121.342,0,0,0.09
381,386,cyl.ram, ,10,19,25,6,2,L,730,170, ,cyl.ram,cactus,622561.7761,3849120.997,0,0,0.05
396,401,cyl.ram, ,134,127,102,6,2,L,830,1000, ,cyl.ram,cactus,622573.677,3849129.592,0,0,0.67
460,465,cyl.ram, ,130,102,105,6,1,L,850,310, ,cyl.ram,cactus,622573.877,3849132.692,0,0,0.65
472,0,cyl.ram, ,14,10,24,6,0, ,0,0, ,cyl.ram,cactus,622575.0757,3849130.917,0,0,0.07
507,33,cyl.ram, ,9,5,26,5,8,R,0,0, ,cyl.ram,cactus,622549.05,3849138.65,34,0,0.045
574,101,cyl.ram, ,18,11,24,5,7,R,0,0, ,cyl.ram,cactus,622540.05,3849155.95,102,0,0.09
578,105,cyl.ram, ,16,10,30,5,7,R,0,0, ,cyl.ram,cactus,622545.6,3849154.5,106,0,0.08
587,114,cyl.ram, ,123,130,122,5,7,R,0,0, ,cyl.ram,cactus,622547.65,3849150.35,114,0,0.615
597,124,cyl.ram, ,10,8,6,5,7,L,0,0, ,cyl.ram,cactus,622551.25,3849149.5,124,0,0.05
605,133,cyl.ram, ,108,79,75,5,7,L,0,0, ,cyl.ram,cactus,622557.35,3849152.95,132,0,0.54
618,146,cyl.ram, ,87,67,68,5,7,L,0,0, ,cyl.ram,cactus,622554.95,3849150.9,145,0,0.435
632,160,cyl.ram, ,38,42,53,5,6,R,0,0, ,cyl.ram,cactus,622540.2,3849157.9,159,0,0.19
704,232,cyl.ram, ,120,92,100,5,5,R,0,0, ,cyl.ram,cactus,622544.9,3849174,227,0,0.6
753,279,cyl.ram, ,103,89,85,5,5,L,0,0, ,cyl.ram,cactus,622559.15,3849170.45,272,0,0.515
764,290,cyl.ram, ,47,41,75,5,4,R,0,0,rooted in same place,cyl.ram,cactus,622541.45,3849179.05,283,0,0.235
777,305,cyl.ram, ,46,46,65,5,4,R,0,0, ,cyl.ram,cactus,622547.95,3849182.65,297,0,0.23
807,334,cyl.ram, ,31,35,43,5,4,L,0,0, ,cyl.ram,cactus,622556.75,3849182.15,324,0,0.155
884,410,cyl.ram, ,80,61,60,5,3,L,0,0, ,cyl.ram,cactus,622557.05,3849188.4,397,0,0.4
945,469,cyl.ram, ,61,28,58,5,1,R,0,0, ,cyl.ram,cactus,622540.95,3849216.5,449,0,0.305
970,493,cyl.ram, ,103,110,112,5,1,R,0,0, ,cyl.ram,cactus,622549.55,3849213.55,473,0,0.515
1016,540,cyl.ram, ,68,86,80,5,1,L,0,0, ,cyl.ram,cactus,622555.55,3849208.95,521,0,0.34
1048,0,cyl.ram, ,15,5,8,4,8,R,0,0, ,cyl.ram,cactus,622470.744,3849250.552,0,0,0.075
1056,15,cyl.ram, ,59,44,83,4,8,R,0,0, ,cyl.ram,cactus,622476.344,3849254.402,0,16,0.295
1065,24,cyl.ram, ,41,36,50,4,8,R,0,0, ,cyl.ram,cactus,622478.694,3849252.102,0,25,0.205
1292,245,cyl.ram, ,128,90,52,4,5,R,0,0, ,cyl.ram,cactus,622477.994,3849280.002,0,246,0.64
1297,250,cyl.ram, ,10,10,12,4,5,R,0,0, ,cyl.ram,cactus,622471.544,3849277.802,0,251,0.05
1474,426,cyl.ram, ,105,61,72,4,3,L,0,0, ,cyl.ram,cactus,622484.944,3849303.752,0,427,0.525
1545,501,cyl.ram, ,90,84,85,4,2,R,0,0, ,cyl.ram,cactus,622477.544,3849306.902,0,502,0.45
1629,588,cyl.ram, ,100,83,59,4,1,R,0,0, ,cyl.ram,cactus,622472.944,3849324.452,0,589,0.5
1646,605,cyl.ram, ,134,122,104,4,1,R,0,0, ,cyl.ram,cactus,622479.594,3849324.302,0,606,0.67
1673,633,cyl.ram, ,23,16,33,4,1,L,0,0, ,cyl.ram,cactus,622483.444,3849318.802,0,634,0.115
1724,0,cyl.ram, ,65,61,89,4,0, ,0,0, ,cyl.ram,cactus,622476.3928,3849251.745,0,0,0.325
1,1,ephedra, ,71,30,58,6,8,R,140,226, ,ephedra,shrub,622556.7135,3849063.459,0,0,0.355
2,2,ephedra, ,69,53,66,6,8,R,165,262, ,ephedra,shrub,622556.9635,3849063.819,0,0,0.345
8,8,ephedra, ,52,50,38,6,8,R,99,474, ,ephedra,shrub,622556.3035,3849065.939,0,0,0.26
9,9,ephedra, ,46,31,33,6,8,R,150,530, ,ephedra,shrub,622556.8135,3849066.499,0,0,0.23
23,23,ephedra, ,33,32,34,6,8,R,460,969, ,ephedra,shrub,622559.9135,3849070.889,0,0,0.165
34,34,ephedra, ,80,82,59,6,8,L,200,38, ,ephedra,shrub,622567.3135,3849061.579,0,0,0.4
36,36,ephedra, ,42,95,73,6,8,L,270,49, ,ephedra,shrub,622568.0135,3849061.689,0,0,0.21
37,37,ephedra, ,112,92,66,6,8,L,410,106, ,ephedra,shrub,622569.4135,3849062.259,0,0,0.56
55,56,ephedra, ,55,56,43,6,8,L,730,60, ,ephedra,shrub,622572.6135,3849061.799,0,0,0.275
57,58,ephedra, ,44,34,45,6,8,L,735,325, ,ephedra,shrub,622572.6635,3849064.449,0,0,0.22
58,59,ephedra, ,108,94,50,6,8,L,670,370, ,ephedra,shrub,622572.0135,3849064.899,0,0,0.54
64,65,ephedra, ,74,75,50,6,7,R,25,310, ,ephedra,shrub,622555.5635,3849074.299,0,0,0.37
68,70,ephedra, ,95,95,60,6,7,R,195,510, ,ephedra,shrub,622557.2635,3849076.299,0,0,0.475
73,75,ephedra, ,107,135,69,6,0, ,0,0, ,ephedra,shrub,622556.6635,3849079.899,0,0,0.535
85,87,ephedra, ,60,47,46,6,7,R,745,175, ,ephedra,shrub,622562.7635,3849072.949,0,0,0.3
88,90,ephedra, ,69,64,50,6,7,R,550,475, ,ephedra,shrub,622560.8135,3849075.949,0,0,0.345
97,99,ephedra, ,42,60,35,6,7,L,125,65, ,ephedra,shrub,622566.5635,3849071.849,0,0,0.21
98,100,ephedra, ,60,90,59,6,7,L,160,105, ,ephedra,shrub,622566.9135,3849072.249,0,0,0.3
99,101,ephedra, ,30,28,33,6,7,L,295,270, ,ephedra,shrub,622568.2635,3849073.899,0,0,0.15
100,102,ephedra, ,64,65,51,6,7,L,305,315, ,ephedra,shrub,622568.3635,3849074.349,0,0,0.32
101,103,ephedra, ,30,37,32,6,7,L,320,355, ,ephedra,shrub,622568.5135,3849074.749,0,0,0.15
102,104,ephedra, ,6,8,19,6,7,L,295,255, ,ephedra,shrub,622568.2635,3849073.749,0,0,0.03
103,105,ephedra, ,9,25,34,6,7,L,295,295, ,ephedra,shrub,622568.2635,3849074.149,0,0,0.045
104,106,ephedra, ,4,6,28,6,7,L,305,260, ,ephedra,shrub,622568.3635,3849073.799,0,0,0.02
105,107,ephedra, ,7,6,18,6,7,L,305,240, ,ephedra,shrub,622568.3635,3849073.599,0,0,0.035
106,108,ephedra, ,12,13,35,6,7,L,315,285, ,ephedra,shrub,622568.4635,3849074.049,0,0,0.06
109,111,ephedra, ,33,15,37,6,7,L,155,915, ,ephedra,shrub,622566.8635,3849080.349,0,0,0.165
110,112,ephedra, ,40,20,35,6,7,L,175,770, ,ephedra,shrub,622567.0635,3849078.899,0,0,0.2
111,113,ephedra, ,26,33,40,6,7,L,195,795, ,ephedra,shrub,622567.2635,3849079.149,0,0,0.13
112,114,ephedra, ,20,12,32,6,7,L,235,805, ,ephedra,shrub,622567.6635,3849079.249,0,0,0.1
113,115,ephedra, ,25,24,34,6,7,L,235,835, ,ephedra,shrub,622567.6635,3849079.549,0,0,0.125
115,118,ephedra, ,170,100,47,6,7,L,395,550, ,ephedra,shrub,622569.2635,3849075.699,0,0,0.85
124,0,ephedra, ,75,69,50,6,0, ,0,0, ,ephedra,shrub,622573.4135,3849076.299,0,0,0.375
125,126,ephedra, ,31,29,30,6,7,L,985,530, ,ephedra,shrub,622575.1635,3849076.499,0,0,0.155
135,137,ephedra, ,52,42,55,6,6,R,180,180, ,ephedra,shrub,622557.1135,3849082.999,0,0,0.26
138,141,ephedra, ,84,94,52,6,6,R,40,765, ,ephedra,shrub,622555.7135,3849088.849,0,0,0.42
139,142,ephedra, ,70,66,56,6,6,R,80,805, ,ephedra,shrub,622556.1135,3849089.249,0,0,0.35
140,143,ephedra, ,40,46,33,6,6,R,10,890, ,ephedra,shrub,622555.4135,3849090.099,0,0,0.2
145,148,ephedra, ,53,52,51,6,6,R,650,810, ,ephedra,shrub,622561.8135,3849089.299,0,0,0.265
151,153,ephedra, ,100,100,55,6,6,R,800,680, ,ephedra,shrub,622563.3135,3849087.999,0,0,0.5
152,154,ephedra, ,60,55,50,6,6,R,750,680, ,ephedra,shrub,622562.8135,3849087.999,0,0,0.3
159,161,ephedra, ,47,49,49,6,6,L,120,65, ,ephedra,shrub,622566.5135,3849081.849,0,0,0.235
160,162,ephedra, ,35,53,50,6,6,L,155,70, ,ephedra,shrub,622566.8635,3849081.899,0,0,0.175
161,163,ephedra, ,10,8,30,6,6,L,30,120, ,ephedra,shrub,622565.6135,3849082.399,0,0,0.05
162,164,ephedra, ,30,32,32,6,6,L,205,190, ,ephedra,shrub,622567.3635,3849083.099,0,0,0.15
163,165,ephedra, ,46,45,60,6,6,L,35,425, ,ephedra,shrub,622565.6635,3849085.449,0,0,0.23
169,171,ephedra, ,175,138,52,6,6,L,610,870,ring formation,ephedra,shrub,622571.4135,3849089.899,0,0,0.875
178,180,ephedra, ,86,103,70,6,6,L,440,970, ,ephedra,shrub,622569.7135,3849090.899,0,0,0.43
186,188,ephedra, ,115,149,87,6,6,L,910,95, ,ephedra,shrub,622574.4135,3849082.149,0,0,0.575
187,189,ephedra, ,122,117,87,6,6,L,845,150, ,ephedra,shrub,622573.7635,3849082.699,0,0,0.61
197,198,ephedra, ,51,39,41,6,5,R,30,320, ,ephedra,shrub,622555.6135,3849094.399,0,0,0.255
198,199,ephedra, ,89,87,57,6,5,R,0,420, ,ephedra,shrub,622555.3135,3849095.399,0,0,0.445
203,204,ephedra, ,42,39,35,6,5,R,560,990, ,ephedra,shrub,622560.977,3849097.892,0,0,0.21
204,205,ephedra, ,130,96,55,6,5,R,750,760, ,ephedra,shrub,622562.877,3849095.592,0,0,0.65
207,208,ephedra, ,193,132,50,6,5,R,775,135,ring formation,ephedra,shrub,622564.2012,3849092.522,0,0,0.965
210,211,ephedra, ,116,90,70,6,5,R,695,110, ,ephedra,shrub,622562.2635,3849092.299,0,0,0.58
227,228,ephedra, ,67,74,45,6,5,L,800,780, ,ephedra,shrub,622573.377,3849095.792,0,0,0.335
240,241,ephedra, ,115,91,60,6,4,R,65,210, ,ephedra,shrub,622556.027,3849100.092,0,0,0.575
241,242,ephedra, ,138,164,45,6,4,R,310,85,ring with 4 clumps,ephedra,shrub,622558.477,3849098.842,0,0,0.69
246,247,ephedra, ,38,36,36,6,4,R,320,640, ,ephedra,shrub,622558.577,3849104.392,0,0,0.19
247,248,ephedra, ,88,100,46,6,4,R,470,665, ,ephedra,shrub,622560.077,3849104.642,0,0,0.44
252,253,ephedra, ,105,50,75,6,4,R,850,790, ,ephedra,shrub,622563.877,3849105.892,0,0,0.525
254,255,ephedra, ,76,80,50,6,4,R,920,850, ,ephedra,shrub,622564.577,3849106.492,0,0,0.38
255,256,ephedra, ,105,95,57,6,4,R,965,970, ,ephedra,shrub,622565.027,3849107.692,0,0,0.525
262,262,ephedra, ,100,102,70,6,4,R,580,310, ,ephedra,shrub,622561.177,3849101.092,0,0,0.5
263,263,ephedra, ,127,115,61,6,4,L,110,40, ,ephedra,shrub,622566.477,3849098.392,0,0,0.635
272,274,ephedra, ,147,140,63,6,4,L,510,640,ring formation,ephedra,shrub,622570.477,3849104.392,0,0,0.735
273,275,ephedra, ,203,96,70,6,4,L,650,665,ring formation,ephedra,shrub,622571.8876,3849105.256,0,0,1.015
276,278,ephedra, ,105,87,63,6,4,L,935,760, ,ephedra,shrub,622574.727,3849105.592,0,0,0.525
277,279,ephedra, ,85,65,47,6,4,L,915,590, ,ephedra,shrub,622574.527,3849103.892,0,0,0.425
294,297,ephedra, ,38,23,38,6,4,L,650,315, ,ephedra,shrub,622571.877,3849101.142,0,0,0.19
303,306,ephedra, ,32,28,32,6,4,L,825,305, ,ephedra,shrub,622573.627,3849101.042,0,0,0.16
307,310,ephedra, ,83,46,44,6,3,R,245,60, ,ephedra,shrub,622557.827,3849108.592,0,0,0.415
308,311,ephedra, ,71,60,46,6,3,R,130,200, ,ephedra,shrub,622556.677,3849109.992,0,0,0.355
309,312,ephedra, ,60,67,48,6,3,R,175,250, ,ephedra,shrub,622557.127,3849110.492,0,0,0.3
311,314,ephedra, ,100,106,65,6,3,R,150,585, ,ephedra,shrub,622556.877,3849113.842,0,0,0.5
324,0,ephedra, ,110,82,62,6,0, ,0,0, ,ephedra,shrub,622559.577,3849114.742,0,0,0.55
326,329,ephedra, ,128,100,70,6,3,R,420,900, ,ephedra,shrub,622559.577,3849116.992,0,0,0.64
329,332,ephedra, ,145,115,87,6,3,R,685,415, ,ephedra,shrub,622562.227,3849112.142,0,0,0.725
330,333,ephedra, ,60,65,62,6,3,R,755,380, ,ephedra,shrub,622562.927,3849111.792,0,0,0.3
332,335,ephedra, ,54,54,40,6,3,L,85,145, ,ephedra,shrub,622566.227,3849109.442,0,0,0.27
333,336,ephedra, ,75,60,40,6,3,L,90,190, ,ephedra,shrub,622566.277,3849109.892,0,0,0.375
337,340,ephedra, ,55,60,50,6,3,L,260,745, ,ephedra,shrub,622567.977,3849115.442,0,0,0.275
339,342,ephedra, ,146,67,70,6,3,L,410,580, ,ephedra,shrub,622569.477,3849113.792,0,0,0.73
341,344,ephedra, ,105,60,40,6,3,L,930,250, ,ephedra,shrub,622574.677,3849110.492,0,0,0.525
342,345,ephedra, ,51,55,40,6,3,L,885,180, ,ephedra,shrub,622574.227,3849109.792,0,0,0.255
345,348,ephedra, ,65,60,55,6,3,L,895,30, ,ephedra,shrub,622574.327,3849108.292,0,0,0.325
353,356,ephedra, ,200,130,60,6,2,R,110,500,looks like 3,ephedra,shrub,622556.477,3849124.592,0,0,1
365,368,ephedra, ,167,104,66,6,2,R,680,445, ,ephedra,shrub,622562.177,3849124.042,0,0,0.835
374,377,ephedra, ,57,85,54,6,2,R,750,935,all cluster,ephedra,shrub,622562.877,3849128.942,0,0,0.285
401,407,ephedra, ,158,145,86,6,2,L,870,95, ,ephedra,shrub,622574.077,3849120.542,0,0,0.79
402,408,ephedra, ,57,45,38,6,2,L,595,325, ,ephedra,shrub,622571.327,3849122.842,0,0,0.285
425,431,ephedra, ,110,120,65,6,1,R,635,740, ,ephedra,shrub,622561.727,3849136.992,0,0,0.55
426,432,ephedra, ,110,93,66,6,1,R,725,700, ,ephedra,shrub,622562.627,3849136.592,0,0,0.55
436,442,ephedra, ,122,122,60,6,1,R,450,420, ,ephedra,shrub,622559.877,3849133.792,0,0,0.61
442,447,ephedra, ,107,79,60,6,1,L,50,820, ,ephedra,shrub,622565.877,3849137.792,0,0,0.535
452,457,ephedra, ,72,80,55,6,1,L,495,640, ,ephedra,shrub,622570.327,3849135.992,0,0,0.36
474,0,ephedra, ,48,51,52,5,8,R,0,0, ,ephedra,shrub,622540.9,3849137.45,1,0,0.24
485,10,ephedra, ,73,60,48,5,8,R,0,0, ,ephedra,shrub,622540.25,3849145.7,11,0,0.365
490,15,ephedra, ,93,62,37,5,8,R,0,0, ,ephedra,shrub,622542.9,3849143,16,0,0.465
499,25,ephedra, ,100,64,53,5,8,R,0,0, ,ephedra,shrub,622549.3,3849142.25,26,0,0.5
509,35,ephedra, ,105,110,70,5,8,R,0,0, ,ephedra,shrub,622548.2,3849138.1,36,0,0.525
516,43,ephedra, ,104,72,70,5,8,L,0,0, ,ephedra,shrub,622551.65,3849138.05,44,0,0.52
518,45,ephedra, ,84,47,41,5,8,L,0,0, ,ephedra,shrub,622552.1,3849139.55,46,0,0.42
519,46,ephedra, ,80,82,50,5,8,L,0,0, ,ephedra,shrub,622549.85,3849140.6,47,0,0.4
520,47,ephedra, ,135,105,75,5,8,L,0,0, ,ephedra,shrub,622549.55,3849143,48,0,0.675
541,67,ephedra, ,84,120,69,5,8,L,0,0, ,ephedra,shrub,622558.65,3849140.55,68,0,0.42
